Compound,xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
BiFeO3-PT,0.2,0.8,1.0152,0.0878,816
BiFeO3-PT,0.3,0.7,1.0095,,840
BiFeO3-PT,0.4,0.6,1.0036,0.0994,864
BiFeO3-PT,0.5,0.5,0.9975,,915
BiFeO3-PT,0.6,0.4,0.9916,,956
BiFeO3-PT,0.7,0.31,0.9858,0.1172,1015
BiFeO3-PT,0.8,0.2,0.9798,0.1232,1065
BiFeO3-PT,0.9,0.1,0.9737,0.1293,1101
BiZnTiO3-PT,0.0,1.0,1.0272,0.0758,768
BiZnTiO3-PT,0.1,0.9,1.0201,0.0841,803
BiZnTiO3-PT,0.2,0.8,1.0127,0.0927,840
BiZnTiO3-PT,0.25,0.75,1.0091,,864
BiZnTiO3-PT,0.3,0.7,1.0056,0.1009,922
BiZnTiO3-PT,0.4,0.6,0.9983,,990
Bi(MgW)O3-PT,0.05,0.95,1.0233,,755
Bi(MgW)O3-PT,0.1,0.9,1.0189,0.0753,736
Bi(MgW)O3-PT,0.13,0.87,1.0165,0.0752,725
Bi(MgW)O3-PT,0.15,0.85,1.0151,0.0751,707
Bi(MgW)O3-PT,0.17,0.83,1.0132,0.075,705
Bi(MgW)O3-PT,0.2,0.8,1.0108,,682
Bi(MgW)O3-PT,0.25,0.75,1.0068,0.0746,643
Bi(MgW)O3-PT,0.5,0.5,0.9867,,493
Bi(MgW)O3-PT,0.52,0.48,0.9851,0.0732,493
Bi(MgW)O3-PT,0.54,0.46,0.9836,0.0731,470
Bi(MgW)O3-PT,0.56,0.44,0.982,0.073,447
Bi(MgW)O3-PT,0.58,0.42,0.9803,0.0729,447
Bi(MgW)O3-PT,0.6,0.4,0.9787,0.0728,430
Bi(MgNb)O3-PT,0.0,1.0,1.027,0.0759,768
Bi(MgNb)O3-PT,0.05,0.95,1.0232,0.0765,768
Bi(MgNb)O3-PT,0.1,0.9,1.0189,,757
Bi(MgNb)O3-PT,0.15,0.85,1.0148,,742
Bi(MgNb)O3-PT,0.2,0.8,1.011,,723
Bi(MgNb)O3-PT,0.25,0.75,1.0067,0.0793,696
BiInO3-PT,0.15,0.85,1.0075,0.075,821
BiInO3-PT,0.2,0.8,1.0013,,834
BiInO3-PT,0.3,0.7,0.9884,,837
BiInO3-PT,0.34,0.66,0.983,0.0741,820
BiScO3-PT,0.15,0.85,1.0115,0.0774,800
BiScO3-PT,0.25,0.75,1.0008,0.0786,769
BiScO3-PT,0.3,0.7,0.9954,,753
BiScO3-PT,0.36,0.64,0.9893,0.0798,722
BiScO3-PT,0.4,0.6,0.9852,0.0802,694
Bi(ZnNb)O3-PT,0.1,0.9,1.0184,,795
Bi(ZnNb)O3-PT,0.15,0.85,1.0141,,809
Bi(ZnNb)O3-PT,0.2,0.8,1.0096,0.0944,817
Bi(ZnNb)O3-PT,0.25,0.75,1.0051,,809
Bi(ZnNb)O3-PT,0.3,0.7,1.0009,,775
